,acc_test,pre_test,rec_test,f1_test,cross_entropy_loss
0,0.15625,0.13735657724628314,0.15625,0.12823987050960733,2.293662
1,0.328125,0.21194196428571427,0.328125,0.25524671407024346,2.1852653
2,0.234375,0.16792677808302808,0.234375,0.18454204464266385,2.1857085
3,0.171875,0.14119318181818183,0.171875,0.1496760033444816,2.1581879
4,0.296875,0.19857954545454548,0.296875,0.23536931818181822,2.188004
5,0.265625,0.21560132575757573,0.265625,0.22244040708388618,2.0789356
6,0.375,0.39607736013986017,0.375,0.3218101904223228,2.047406
7,0.265625,0.2928810160427807,0.265625,0.230814073536113,2.1209507
8,0.4375,0.5292647456709957,0.4375,0.41126998001997994,2.1046672
9,0.453125,0.44943181818181815,0.453125,0.40699253460355433,2.0318918
10,0.296875,0.30931412337662334,0.296875,0.28085625996810204,2.018846
11,0.453125,0.4168603098290598,0.453125,0.42548150266971774,1.926157
12,0.390625,0.4324156746031746,0.390625,0.3533797799422799,2.0740407
13,0.5,0.4979166666666667,0.5,0.4681002208575738,2.0969758
14,0.4375,0.3959325396825397,0.4375,0.41021478521478516,1.9633657
15,0.484375,0.5607638888888888,0.484375,0.499770005256107,1.9482543
16,0.359375,0.3269097222222222,0.359375,0.3170766559829059,1.9291002
17,0.5,0.44865056818181814,0.5,0.4662489557226399,2.039856
18,0.375,0.37341044372294374,0.375,0.3532637436952452,1.8980111
19,0.359375,0.3651041666666667,0.359375,0.35185529930595716,1.9122212
20,0.375,0.41295544733044737,0.375,0.36375534188034186,2.008271
21,0.4375,0.37695707070707074,0.4375,0.3953625660330382,1.9113975
22,0.515625,0.538764880952381,0.515625,0.5136644299328124,1.8808107
23,0.484375,0.5619656385281385,0.484375,0.4783653846153846,1.9178313
24,0.453125,0.5699652777777778,0.453125,0.47749633944486886,1.8260071
25,0.453125,0.47546502976190474,0.453125,0.4482387506284565,1.8934317
26,0.5,0.5520089285714286,0.5,0.4993553321678322,1.9877536
27,0.3125,0.34738568722943725,0.3125,0.3026894138337153,1.8550335
28,0.515625,0.5773065476190476,0.515625,0.526078869047619,1.8094914
29,0.578125,0.6058971410533911,0.578125,0.5703431372549019,1.7981246
30,0.4375,0.439484126984127,0.4375,0.4286114926739927,1.8279594
31,0.421875,0.43317212301587305,0.421875,0.40953785797535797,1.7586169
32,0.59375,0.6277901785714286,0.59375,0.5952268217893217,1.8275921
33,0.5,0.5684399801587301,0.5,0.5042565073815074,1.7631688
34,0.53125,0.5746837797619048,0.53125,0.5335195135746607,1.7025067
35,0.421875,0.4363777281746032,0.421875,0.41266564318034904,1.851629
36,0.421875,0.446937003968254,0.421875,0.4110074157868276,1.8049865
37,0.421875,0.4736111111111111,0.421875,0.423842659533449,1.8224742
38,0.59375,0.6235119047619048,0.59375,0.594709074626354,1.7746646
39,0.40625,0.41061507936507935,0.40625,0.3871302308802309,1.8220738
40,0.421875,0.46999007936507936,0.421875,0.4118689903846154,1.8057497
41,0.515625,0.6109809027777777,0.515625,0.5376833864449962,1.8434312
42,0.484375,0.5054873511904762,0.484375,0.4777574855699856,1.7652688
43,0.5,0.5206473214285714,0.5,0.4988336954099822,1.7110898
44,0.5,0.5038329725829725,0.5,0.48263888888888884,1.8193403
45,0.578125,0.6163504464285714,0.578125,0.5743199508824509,1.7493439
46,0.40625,0.4492931547619048,0.40625,0.40815455990088345,1.6934602
47,0.453125,0.46567460317460313,0.453125,0.45224489777508353,1.6677014
48,0.515625,0.5588727678571428,0.515625,0.5172709235209235,1.7782869
49,0.453125,0.504265873015873,0.453125,0.45922067107728876,1.6860353
50,0.453125,0.5028645833333334,0.453125,0.4592115604983252,1.7690918
51,0.5,0.51796875,0.5,0.492921987874097,1.668216
52,0.46875,0.4552951388888889,0.46875,0.45485771887426296,1.693872
53,0.40625,0.47863343253968255,0.40625,0.419585775743864,1.7457384
54,0.453125,0.4851680871212121,0.453125,0.4528040627136022,1.6976945
55,0.515625,0.5759300595238096,0.515625,0.5260675904977374,1.7370226
56,0.484375,0.4620383522727272,0.484375,0.46145152401945877,1.748234
57,0.4375,0.4824015827922078,0.4375,0.44911616161616164,1.6529495
58,0.453125,0.5021577380952381,0.453125,0.4589258831446331,1.7441585
59,0.609375,0.6498308982683982,0.609375,0.612388392857143,1.7681296
60,0.515625,0.543501984126984,0.515625,0.5213444541569542,1.6454357
61,0.5,0.5189484126984127,0.5,0.5047204097985348,1.5607708
62,0.46875,0.5477120535714286,0.46875,0.490594362745098,1.6350567
63,0.453125,0.47617187499999997,0.453125,0.44041344684727035,1.6683012
64,0.4375,0.5179315476190476,0.4375,0.44004255548373195,1.8032968
65,0.453125,0.5342261904761905,0.453125,0.4581408175158175,1.6123729
66,0.4375,0.5005022321428572,0.4375,0.4533722303023774,1.6604128
67,0.671875,0.7097842261904762,0.671875,0.6821714743589744,1.7482221
68,0.515625,0.539750744047619,0.515625,0.5212867861305361,1.623043
69,0.5,0.5241939484126984,0.5,0.49665735357371393,1.5551662
70,0.515625,0.6095610119047619,0.515625,0.5359747023809524,1.6801474
71,0.34375,0.3627604166666667,0.34375,0.3411457101013022,1.668534
72,0.546875,0.5474330357142858,0.546875,0.5399824134199133,1.6768649
73,0.515625,0.5499255952380953,0.515625,0.5269364316239317,1.7060759
74,0.453125,0.5507254464285714,0.453125,0.4809836813513284,1.615855
75,0.5,0.4994791666666667,0.5,0.4891588400634453,1.7249022
76,0.46875,0.5022879464285714,0.46875,0.4778799325674326,1.7037178
77,0.375,0.38984375000000004,0.375,0.3689778831419699,1.6548791
78,0.546875,0.605859375,0.546875,0.540676388562418,1.5599774
79,0.46875,0.5030691964285714,0.46875,0.47684909300258566,1.6096182
