,acc_test,pre_test,rec_test,f1_test,cross_entropy_loss
0,0.34375,0.3698559253246753,0.34375,0.34438348110223105,2.17598
1,0.375,0.3767361111111111,0.375,0.35927087618264086,2.100264
2,0.453125,0.3855564574314574,0.453125,0.40986701529464686,1.9433296
3,0.453125,0.48404017857142856,0.453125,0.45821886446886445,1.9370737
4,0.515625,0.5598028273809524,0.515625,0.5175943710894368,1.8965918
5,0.65625,0.6590401785714286,0.65625,0.6478153425521846,1.7534562
6,0.484375,0.4923921130952381,0.484375,0.4796674679487179,1.8124214
7,0.65625,0.6521949404761905,0.65625,0.6408097922029811,1.8284063
8,0.609375,0.6910342261904762,0.609375,0.6163711288711289,1.884342
9,0.75,0.8049479166666667,0.75,0.7509196966228215,1.7436557
10,0.578125,0.5997767857142857,0.578125,0.57812885643768,1.7124395
11,0.625,0.7295386904761905,0.625,0.650763039044289,1.7670779
12,0.578125,0.616108630952381,0.578125,0.5840909090909091,1.7735066
13,0.609375,0.6961929563492062,0.609375,0.6350358933829329,1.7089269
14,0.78125,0.7902901785714285,0.78125,0.77308836996337,1.7244486
15,0.78125,0.8306051587301587,0.78125,0.7892485119047619,1.6903467
16,0.625,0.6624255952380953,0.625,0.6249062267744333,1.6821489
17,0.640625,0.6914992559523809,0.640625,0.6498444570135745,1.7372065
18,0.6875,0.7732638888888889,0.6875,0.7022222951680672,1.6699365
19,0.546875,0.5967013888888889,0.546875,0.5449719551282052,1.5797681
20,0.765625,0.7949590773809523,0.765625,0.7708496160702043,1.5951071
21,0.734375,0.7388392857142857,0.734375,0.7326447857697858,1.6940136
22,0.671875,0.7638392857142857,0.671875,0.7060897435897435,1.7395756
23,0.640625,0.6942708333333333,0.640625,0.6540769432773109,1.7200904
24,0.65625,0.7220982142857143,0.65625,0.6601535183566434,1.6482116
25,0.703125,0.7387152777777777,0.703125,0.6962171100957867,1.6436204
26,0.65625,0.6880766369047618,0.65625,0.6640923414820473,1.6664586
27,0.65625,0.6995535714285713,0.65625,0.6585575882450883,1.6471777
28,0.703125,0.7553447420634921,0.703125,0.7145323426573426,1.6545846
29,0.75,0.7758184523809524,0.75,0.7522300433484644,1.6062557
30,0.6875,0.7141323953823955,0.6875,0.6817698410335794,1.6104985
31,0.578125,0.6310081845238096,0.578125,0.5754913897377132,1.6489401
32,0.6875,0.7532552083333333,0.6875,0.6993596681096681,1.5517116
33,0.765625,0.8090773809523809,0.765625,0.7779351724664225,1.6516961
34,0.8125,0.8234375,0.8125,0.8085382499445,1.5717921
35,0.71875,0.7427455357142858,0.71875,0.7196141098484848,1.5812836
36,0.703125,0.765798611111111,0.703125,0.718225351037851,1.572962
37,0.734375,0.75499751984127,0.734375,0.7284387868753195,1.590637
38,0.71875,0.7792100694444445,0.71875,0.7258951118326118,1.6066504
39,0.59375,0.6656436011904762,0.59375,0.6098711305464402,1.5793991
40,0.78125,0.8133928571428571,0.78125,0.7873454670329669,1.6183379
41,0.75,0.8012772817460319,0.75,0.7635620889527139,1.6015708
42,0.734375,0.7955605158730159,0.734375,0.7324081147610559,1.5124271
43,0.734375,0.7626860119047619,0.734375,0.7383246527777778,1.5153793
44,0.75,0.7940724206349206,0.75,0.7489063734468147,1.5903627
45,0.84375,0.8513764880952381,0.84375,0.8428134748217468,1.5576984
46,0.65625,0.6860119047619047,0.65625,0.6613354093822843,1.5260265
47,0.703125,0.750062003968254,0.703125,0.7132815790214686,1.578347
48,0.765625,0.7915550595238094,0.765625,0.7717484178832863,1.5814501
49,0.765625,0.7916215728715729,0.765625,0.770415652056277,1.5634823
50,0.703125,0.7284474206349206,0.703125,0.7106387867647058,1.6121094
51,0.765625,0.7951332521645021,0.765625,0.7667557862459178,1.4785994
52,0.703125,0.7146267361111112,0.703125,0.699639423076923,1.5504552
53,0.65625,0.7066220238095238,0.65625,0.6632285614604694,1.5545466
54,0.671875,0.7209387400793651,0.671875,0.6786886520342402,1.5514448
55,0.8125,0.8284102182539682,0.8125,0.8081960642610314,1.5669223
56,0.71875,0.7624937996031745,0.71875,0.724593272681266,1.5280349
57,0.734375,0.7478236607142856,0.734375,0.7342497014831574,1.5410659
58,0.671875,0.7074962797619048,0.671875,0.6723702308720692,1.5060337
59,0.703125,0.7333333333333334,0.703125,0.7036827390445812,1.5461792
60,0.75,0.7601376488095238,0.75,0.7524170274170274,1.5769503
61,0.8125,0.8359375,0.8125,0.8185096153846153,1.558989
62,0.71875,0.8321428571428571,0.71875,0.7533601959830676,1.5235023
63,0.78125,0.7895833333333334,0.78125,0.7779349031816137,1.5279641
64,0.65625,0.6583333333333333,0.65625,0.6446050477300477,1.480799
65,0.828125,0.8553503787878788,0.828125,0.8297714194373402,1.5139153
66,0.765625,0.8157738095238095,0.765625,0.7795656855399502,1.5524598
67,0.890625,0.9144345238095238,0.890625,0.8938501602564102,1.4616667
68,0.8125,0.8401227678571428,0.8125,0.8175303862803863,1.524118
69,0.78125,0.8158854166666666,0.78125,0.7914333521870287,1.5834768
70,0.65625,0.6923859126984127,0.65625,0.6600821639231083,1.5546579
71,0.6875,0.7104166666666666,0.6875,0.6853458396608552,1.4615939
72,0.765625,0.8004712301587301,0.765625,0.7705827924118366,1.5160462
73,0.828125,0.845920138888889,0.828125,0.8300610847485848,1.4614389
74,0.71875,0.770501893939394,0.71875,0.7300189393939394,1.5118802
75,0.796875,0.8061135912698414,0.796875,0.7945501775271512,1.5094266
76,0.71875,0.7814298115079366,0.71875,0.7225611398405516,1.4924009
