,acc_test,pre_test,rec_test,f1_test,cross_entropy_loss
0,0.453125,0.4875558035714286,0.453125,0.4583806818181818,1.8152969
1,0.484375,0.6023319128787877,0.484375,0.48671273901537054,1.3571603
2,0.421875,0.4781706574675324,0.421875,0.4148486199473042,1.3477015
3,0.5625,0.6355096726190477,0.5625,0.566684438927086,1.2248106
4,0.625,0.6442212301587302,0.625,0.6103718102073366,1.1181353
5,0.5625,0.6852678571428571,0.5625,0.5424281858492385,1.0016309
6,0.53125,0.6648753156565657,0.53125,0.5221507352941176,0.88595843
7,0.578125,0.6470424107142857,0.578125,0.5584466697518169,1.0240037
8,0.703125,0.7227678571428571,0.703125,0.7052905427905427,0.8562323
9,0.640625,0.6683407738095238,0.640625,0.6345866755793227,0.83304495
10,0.59375,0.5980282738095238,0.59375,0.583493979978355,1.0023137
11,0.6875,0.7735755997474747,0.6875,0.6853907723683265,0.6539446
12,0.59375,0.5962115575396825,0.59375,0.5844836587024087,0.5757854
13,0.640625,0.7498449900793651,0.640625,0.6615522828564625,0.7899362
14,0.75,0.8010230654761905,0.75,0.7612269674769675,0.83441925
15,0.703125,0.7645089285714286,0.703125,0.7199367559523809,0.68361783
16,0.703125,0.7456163194444445,0.703125,0.7071981503058196,0.5366901
17,0.703125,0.7120535714285715,0.703125,0.6866206709956709,0.6909588
18,0.765625,0.7819940476190477,0.765625,0.7704170829170829,0.48626786
19,0.59375,0.6384052579365079,0.59375,0.5898617213378726,0.49551007
20,0.671875,0.7076512896825398,0.671875,0.6718813381267426,0.42813402
21,0.671875,0.6609375,0.671875,0.657423566017316,0.5235722
22,0.65625,0.7142299107142858,0.65625,0.6729093822843822,0.84461224
23,0.609375,0.6282738095238095,0.609375,0.6059129901960784,0.4348448
24,0.671875,0.7350919913419912,0.671875,0.68251784506969,0.37235594
25,0.671875,0.6755168876262626,0.671875,0.6543879833401892,0.2057353
26,0.671875,0.6872519841269842,0.671875,0.6748798076923077,0.6795602
27,0.671875,0.6835069444444444,0.671875,0.6672054048892284,0.35075253
28,0.71875,0.739657738095238,0.71875,0.7192245254745255,0.56083274
29,0.765625,0.7992001488095237,0.765625,0.7652382660364997,0.23521166
30,0.703125,0.7120225694444444,0.703125,0.704382952573742,0.29583505
31,0.546875,0.5838288014069264,0.546875,0.5484466054778555,0.4420089
32,0.703125,0.7694072420634921,0.703125,0.7163576007326007,0.31832778
33,0.640625,0.6734126984126985,0.640625,0.6404088761202249,0.24159989
34,0.765625,0.8211495535714286,0.765625,0.7677917568542568,0.16745003
35,0.625,0.6599702380952381,0.625,0.6265016233766234,0.21183686
36,0.703125,0.7956845238095238,0.703125,0.7306648212898212,0.14595738
37,0.671875,0.7368117559523809,0.671875,0.6841963158369408,0.25260174
38,0.734375,0.7788194444444444,0.734375,0.7351128472222223,0.18139845
39,0.671875,0.6876860119047619,0.671875,0.6702484096785566,0.16468433
40,0.6875,0.720703125,0.6875,0.6842013888888889,0.13363549
41,0.6875,0.704787270021645,0.6875,0.681671686318068,0.15363967
42,0.65625,0.698046875,0.65625,0.6579402642313826,0.1915944
43,0.71875,0.7237413194444445,0.71875,0.7098240530915164,0.0632881
44,0.609375,0.6263950892857143,0.609375,0.6048112044205793,0.19694541
45,0.6875,0.7536537247474747,0.6875,0.6884858630952381,0.1976516
46,0.734375,0.7606646825396824,0.734375,0.7316019917582417,0.08764494
47,0.671875,0.6963169642857143,0.671875,0.6744182900432899,0.095700815
48,0.75,0.7895833333333333,0.75,0.7602362914862915,0.084701404
49,0.671875,0.746329365079365,0.671875,0.6747419247419246,0.1255182
50,0.78125,0.8283668154761904,0.78125,0.7915787772598919,0.06661977
51,0.734375,0.7694072420634921,0.734375,0.734746322407168,0.037856348
52,0.640625,0.6473958333333334,0.640625,0.6307595182595183,0.02798251
53,0.625,0.7067522321428572,0.625,0.6522380193336075,0.036638025
54,0.78125,0.822265625,0.78125,0.7832386363636363,0.03018803
55,0.71875,0.7476128472222222,0.71875,0.7137161084529505,0.017839037
56,0.71875,0.7399739583333332,0.71875,0.716557400932401,0.07436162
57,0.78125,0.8097436417748918,0.78125,0.7810507915287326,0.016957711
58,0.671875,0.693687996031746,0.671875,0.6764127416700947,0.025027689
59,0.8125,0.8412286931818183,0.8125,0.8157222985347985,0.05569469
60,0.671875,0.7320808531746031,0.671875,0.6831932773109243,0.0070347902
61,0.78125,0.8056175595238095,0.78125,0.7814997502497502,0.015815461
62,0.703125,0.7947730654761904,0.703125,0.7239475597931481,0.03435536
63,0.65625,0.7060267857142857,0.65625,0.6644265023171274,0.0050782408
64,0.71875,0.7440290178571428,0.71875,0.7218844268476622,0.013528557
65,0.8125,0.8409598214285714,0.8125,0.8040301278582529,0.006721108
66,0.765625,0.8220982142857143,0.765625,0.7730902777777778,0.006087915
67,0.75,0.7566654265873016,0.75,0.7430133591898299,0.00835407
68,0.71875,0.74140625,0.71875,0.7059685106560106,0.009681822
69,0.703125,0.7278273809523809,0.703125,0.7018722215606891,0.006109543
70,0.71875,0.7749255952380952,0.71875,0.728684887416505,0.0065198783
71,0.53125,0.5256696428571428,0.53125,0.5219439277827436,0.004351788
72,0.703125,0.7096974206349205,0.703125,0.6959986398405517,0.0068578077
73,0.8125,0.8379340277777778,0.8125,0.8157670454545454,0.0037740234
74,0.734375,0.7875000000000001,0.734375,0.7432077242932507,0.004049468
75,0.6875,0.6993675595238096,0.6875,0.6819356858419359,0.0050887708
76,0.71875,0.7637772817460318,0.71875,0.7218660016454134,0.0037933106
77,0.640625,0.6810994994588745,0.640625,0.642510333824672,0.0047654286
78,0.71875,0.7958705357142857,0.71875,0.7298460037769249,0.0077143526
79,0.609375,0.7041480654761905,0.609375,0.626374299719888,0.0036001783
