,acc_test,pre_test,rec_test,f1_test,cross_entropy_loss
3,0.46875,0.5405590503246753,0.46875,0.4799068348930481,1.0474432
4,0.5625,0.6058599386724386,0.5625,0.5570845546996863,0.83762956
5,0.5625,0.54921875,0.5625,0.5499151175621764,0.98830277
6,0.53125,0.5964781746031746,0.53125,0.5397292811355311,0.6901818
7,0.6875,0.7149925595238096,0.6875,0.6843776933850464,0.55954546
8,0.71875,0.8372395833333333,0.71875,0.7365538107725607,0.4488781
9,0.734375,0.7677083333333332,0.734375,0.7364192140096745,0.58282113
10,0.546875,0.5723958333333333,0.546875,0.5434862446581197,0.325912
11,0.640625,0.7104166666666667,0.640625,0.6455160809262976,0.2808993
12,0.578125,0.6571056547619047,0.578125,0.5970067259129759,0.28529295
13,0.59375,0.7219494047619048,0.59375,0.6268829567083243,0.32072774
14,0.640625,0.6913132440476191,0.640625,0.6384564883645767,0.2501309
15,0.6875,0.7709821428571428,0.6875,0.7121067377271422,0.07325309
16,0.640625,0.6847098214285714,0.640625,0.6488659732080784,0.1568205
17,0.6875,0.6909226190476191,0.6875,0.6777182886557886,0.121316254
18,0.75,0.7805803571428571,0.75,0.7593749999999999,0.07614674
19,0.609375,0.6395140016233766,0.609375,0.5971012266242529,0.06971993
20,0.671875,0.6710069444444444,0.671875,0.6664417613636364,0.06909305
21,0.671875,0.6895089285714285,0.671875,0.6774117018602313,0.066210836
22,0.734375,0.7985795454545455,0.734375,0.7544192032303445,0.095441416
23,0.640625,0.699499458874459,0.640625,0.6450207550125313,0.024255227
24,0.703125,0.774330357142857,0.703125,0.7122903138528139,0.014556405
25,0.671875,0.7485243055555556,0.671875,0.6816273952762923,0.0066550616
26,0.671875,0.6905257936507936,0.671875,0.6636846021303259,0.0023371042
27,0.609375,0.629985119047619,0.609375,0.6076980134158926,0.0022090718
28,0.65625,0.6836681547619048,0.65625,0.6582255235626946,0.012311242
29,0.71875,0.7407738095238096,0.71875,0.720799512987013,0.0021580015
30,0.59375,0.649826388888889,0.59375,0.601689118629908,0.0038986616
31,0.65625,0.701078869047619,0.65625,0.6596630799755799,0.009491501
32,0.65625,0.7245163690476191,0.65625,0.6684560505284188,0.002512871
33,0.625,0.6311383928571428,0.625,0.6237694597069597,0.0014689901
34,0.734375,0.7737537202380953,0.734375,0.743676229654848,0.0015556548
35,0.71875,0.7610491071428571,0.71875,0.7283641705516706,0.0012081525
36,0.671875,0.7364109848484848,0.671875,0.6869896478328172,0.0015993022
37,0.734375,0.7665364583333334,0.734375,0.7440241228070175,0.0029839566
38,0.703125,0.7496465773809524,0.703125,0.710556201704857,0.0015700096
39,0.609375,0.6598958333333332,0.609375,0.6190300014313173,0.00074893347
40,0.75,0.7785218253968254,0.75,0.7571822366230261,0.0008019879
41,0.6875,0.7281249999999999,0.6875,0.6937962211399712,0.0005187615
42,0.703125,0.743452380952381,0.703125,0.7028215605881047,0.0058941683
43,0.65625,0.6853422619047619,0.65625,0.6561858622919479,0.00036509888
44,0.71875,0.771186755952381,0.71875,0.7133259969197469,0.0014228306
45,0.71875,0.7536644345238095,0.71875,0.723214806027306,0.00034124576
46,0.71875,0.7368551587301587,0.71875,0.7071999691484985,0.0005088712
47,0.6875,0.7290736607142857,0.6875,0.6948922605172605,0.0001879756
48,0.671875,0.6988095238095238,0.671875,0.6737869769119769,0.00039440894
49,0.609375,0.6216517857142857,0.609375,0.6019570707070707,0.00032074872
50,0.640625,0.6618303571428571,0.640625,0.6306200926266716,0.00061032723
51,0.6875,0.6966145833333334,0.6875,0.6881365570703806,0.00059783226
52,0.609375,0.6877976190476192,0.609375,0.6244063228438229,0.0005473607
53,0.65625,0.6778769841269842,0.65625,0.655859739729225,0.000950232
54,0.703125,0.7122395833333333,0.703125,0.6986996459422932,0.0006035543
55,0.703125,0.7570312499999999,0.703125,0.7108767968142968,0.00046289788
56,0.703125,0.7692522321428571,0.703125,0.7032828282828282,0.00070070534
57,0.734375,0.7583147321428572,0.734375,0.7388302669552669,0.00056682935
58,0.640625,0.677250744047619,0.640625,0.6399126481157731,0.00023234461
59,0.703125,0.7095221185064934,0.703125,0.6849637113617377,0.0006913138
60,0.71875,0.7383680555555555,0.71875,0.7211053775730633,0.0003578426
61,0.65625,0.6348586309523809,0.65625,0.6363438644688645,0.00046156783
62,0.65625,0.7211867559523809,0.65625,0.667680779698243,0.00021464463
63,0.71875,0.7463338744588743,0.71875,0.7213769303613055,0.00031831692
64,0.703125,0.7148003472222223,0.703125,0.6919971776589423,0.0004813078
65,0.75,0.7877604166666666,0.75,0.7423396762551173,0.0023294708
66,0.734375,0.7579675099206349,0.734375,0.7374755544163438,0.00067867123
67,0.6875,0.7482638888888888,0.6875,0.6804935515873016,0.00022316676
68,0.78125,0.8140625,0.78125,0.7883637196137195,0.00015501786
69,0.71875,0.7300121753246753,0.71875,0.7094988002677147,0.0005042591
70,0.671875,0.7215277777777777,0.671875,0.6759850392662893,0.00023107984
71,0.65625,0.6635664682539683,0.65625,0.6450522134115884,0.00051326974
72,0.65625,0.6787574404761905,0.65625,0.6581390286377709,0.001917066
73,0.765625,0.78359375,0.765625,0.7662198045010545,7.664236e-05
74,0.71875,0.7694196428571428,0.71875,0.7273918287487366,0.0006384406
75,0.71875,0.7401785714285714,0.71875,0.7168119878380134,0.00026886284
76,0.65625,0.6979476686507937,0.65625,0.6610003660555132,0.00029676245
77,0.625,0.6414062500000001,0.625,0.6189018115258924,0.0015548901
78,0.625,0.6754464285714284,0.625,0.6318804204374057,0.00014662067
79,0.59375,0.6321614583333333,0.59375,0.601938900560224,0.0003046814
